station,distance,elevation
0+000,0,0.353525
0+000,25,0.25352484
0+000,50,-1.376301408
0+000,75,-1.44822824
0+000,100,-1.251194477
0+000,125,-1.610141754
0+000,150,-2.127712488
0+000,175,-2.772587776
0+000,200,-3.058686018
0+000,225,-3.074057817
0+000,250,-3.040011644
0+000,275,-3
0+000,300,-3.105029345
0+000,325,-3.232747555
0+000,350,-3.360465765
0+000,375,-3.488183975
0+000,400,-3.615902185
0+100,0,0.263063
0+100,25,0.163062662
0+100,50,-1.121982217
0+100,75,-1.168170929
0+100,100,-1.14791882
0+100,125,-1.638565063
0+100,150,-2.432534456
0+100,175,-2.67885685
0+100,200,-2.788944006
0+100,225,-2.93736887
0+100,250,-3
0+100,275,-3
0+100,300,-3.093145847
0+100,325,-3.216648102
0+100,350,-3.340150118
0+100,375,-3.463652372
0+100,400,-3.588501215
0+200,0,0.951355
0+200,25,0.851355314
0+200,50,-1.334492445
0+200,75,-1.135228276
0+200,100,-0.852168322
0+200,125,-1.517525673
0+200,150,-1.945338488
0+200,175,-2.143834352
0+200,200,-2.342330456
0+200,225,-2.535015106
0+200,250,-2.706679583
0+200,275,-2.924119473
0+200,300,-3.096940517
0+200,325,-3.222272158
0+200,350,-3.350895405
0+200,375,-3.479771376
0+200,400,-3.608647585
0+300,0,1.552587
0+300,25,1.452587008
0+300,50,-1.28871572
0+300,75,-1.226555705
0+300,100,-1.241162777
0+300,125,-1.48086977
0+300,150,-1.702973604
0+300,175,-1.95975554
0+300,200,-2.202509165
0+300,225,-2.452989101
0+300,250,-2.702044725
0+300,275,-2.952524662
0+300,300,-3.123191595
0+300,325,-3.285182476
0+300,350,-3.424747229
0+300,375,-3.546089649
0+300,400,-3.674695969
0+400,0,0.457299
0+400,25,0.357299119
0+400,50,-1.282058954
0+400,75,-1.314774275
0+400,100,-1.513449669
0+400,125,-1.722309828
0+400,150,-1.87063086
0+400,175,-1.987873435
0+400,200,-2.211102486
0+400,225,-2.548276186
0+400,250,-2.797657013
0+400,275,-3.026309967
0+400,300,-3.184325457
0+400,325,-3.342340946
0+400,350,-3.496380806
0+400,375,-3.654396296
0+400,400,-3.80256319
0+500,0,0.204881
0+500,25,0.104881495
0+500,50,-0.902864695
0+500,75,-1.57892549
0+500,100,-1.177894354
0+500,125,-1.478984594
0+500,150,-1.763794065
0+500,175,-2.056244612
0+500,200,-2.348695278
0+500,225,-2.633504629
0+500,250,-2.925955057
0+500,275,-3.127310276
0+500,300,-3.303962231
0+500,325,-3.461918831
0+500,350,-3.616383553
0+500,375,-3.770848274
0+500,400,-3.9207623
0+600,0,-0.579814
0+600,25,-0.679814219
0+600,50,-1.39375031
0+600,75,-1.524286151
0+600,100,-1.509798765
0+600,125,-1.747536659
0+600,150,-1.965083361
0+600,175,-2.202821255
0+600,200,-2.420367956
0+600,225,-2.780402184
0+600,250,-3.051000357
0+600,275,-3.223036766
0+600,300,-3.399688721
0+600,325,-3.571724892
0+600,350,-3.748376846
0+600,375,-3.914727211
0+600,400,-4.055840492
0+700,0,-0.251448
0+700,25,-0.35144797
0+700,50,-1.536585927
0+700,75,-1.966305852
0+700,100,-1.74085927
0+700,125,-2.2630229
0+700,150,-2.429838419
0+700,175,-2.5966537
0+700,200,-2.759542942
0+700,225,-2.926358461
0+700,250,-3.098662615
0+700,275,-3.283075809
0+700,300,-3.467488766
0+700,325,-3.645362616
0+700,350,-3.822649002
0+700,375,-3.995540857
0+700,400,-4.122767925
0+800,0,-0.79193
0+800,25,-0.891930282
0+800,50,-1.734984756
0+800,75,-1.1394279
0+800,100,-1.461594701
0+800,125,-1.770964146
0+800,150,-2.093131065
0+800,175,-2.402500391
0+800,200,-2.691225529
0+800,225,-2.945761442
0+800,250,-3.172599792
0+800,275,-3.363035679
0+800,300,-3.547752857
0+800,325,-3.738188744
0+800,350,-3.928624868
0+800,375,-4.069450378
0+800,400,-4.18614006
0+900,0,-0.504205
0+900,25,-0.604204774
0+900,50,-1.315652132
0+900,75,-1.700000048
0+900,100,-1.888064623
0+900,125,-2.054360867
0+900,150,-2.268785238
0+900,175,-2.484148264
0+900,200,-2.738684416
0+900,225,-2.987340927
0+900,250,-3.219629526
0+900,275,-3.45075345
0+900,300,-3.676538944
0+900,325,-3.907663107
0+900,350,-4.068549156
0+900,375,-4.185905457
0+900,400,-4.302798748
1+000,0,-0.477763
1+000,25,-0.577762902
1+000,50,-1.359156728
1+000,75,-1.077440858
1+000,100,-1.222354531
1+000,125,-1.594317555
1+000,150,-1.96628058
1+000,175,-2.329482079
1+000,200,-2.701445103
1+000,225,-3.044971228
1+000,250,-3.303726673
1+000,275,-3.547575951
1+000,300,-3.784232378
1+000,325,-4.010393143
1+000,350,-4.125126362
1+000,375,-4.242872715
1+000,400,-4.357605934
1+100,0,-0.285814
1+100,25,-0.38581425
1+100,50,-1.342446089
1+100,75,-1.209764361
1+100,100,-1.494398832
1+100,125,-1.796887755
1+100,150,-2.09769249
1+100,175,-2.400181293
1+100,200,-2.787845373
1+100,225,-3.110428333
1+100,250,-3.369360447
1+100,275,-3.622102022
1+100,300,-3.881034136
1+100,325,-4.06249094
1+100,350,-4.183188438
1+100,375,-4.297842503
1+100,400,-4.415572166
1+200,0,-0.435687
1+200,25,-0.535686851
1+200,50,-1.327289939
1+200,75,-1.058053732
1+200,100,-1.427956104
1+200,125,-1.797858357
1+200,150,-2.189165831
1+200,175,-2.56079483
1+200,200,-2.946208715
1+200,225,-3.216569185
1+200,250,-3.461020947
1+200,275,-3.71170783
1+200,300,-3.956159592
1+200,325,-4.0974617
1+200,350,-4.218416691
1+200,375,-4.340312004
1+200,400,-4.461266994
1+300,0,-0.089753
1+300,25,-0.189752981
1+300,50,-1.422604799
1+300,75,-1.745210767
1+300,100,-1.99682951
1+300,125,-2.254118681
1+300,150,-2.505737305
1+300,175,-2.765827417
1+300,200,-3.027320147
1+300,225,-3.324694633
1+300,250,-3.605627298
1+300,275,-3.852559566
1+300,300,-4.046788692
1+300,325,-4.166031361
1+300,350,-4.282157421
1+300,375,-4.398283482
1+300,400,-4.521126747
1+400,0,-0.047945
1+400,25,-0.207945032
1+400,50,-1.122296429
1+400,75,-1.435164809
1+400,100,-1.582527924
1+400,125,-1.724265099
1+400,150,-2.166002274
1+400,175,-2.614337206
1+400,200,-3.052586555
1+400,225,-3.370391607
1+400,250,-3.686796665
1+400,275,-3.995001554
1+400,300,-4.116074085
1+400,325,-4.230954647
1+400,350,-4.345835209
1+400,375,-4.464980602
1+400,400,-4.581151009
1+500,0,-0.07973
1+500,25,-0.179730281
1+500,50,-2.020964622
1+500,75,-1.496926069
1+500,100,-1.575916409
1+500,125,-1.989093781
1+500,150,-2.421830893
1+500,175,-2.835008144
1+500,200,-3.199344397
1+500,225,-3.522916794
1+500,250,-3.838476181
